Date,Year,Landing,Management type,Group,Fishgear,#Fishers,Family,Name,Catch category,Commercial/noncomm.,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
10/4/1998,1998,Mwaepe,Gear restriction,1,Basket trap,,Siganidae,Siganus sutor,Rabbitfish,C,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/4/1998,1998,Mwaepe,Gear restriction,2,Basket trap,,Siganidae,Siganus sutor,Rabbitfish,C,13,13,10,12,15,23,,,,,,,,,,,,,,,,,,,,,,,,,,
10/4/1998,1998,Mwaepe,Gear restriction,4,Basket trap,,Siganidae,Siganus sutor,Rabbitfish,C,14,13,12,12,30,12,12,11,19,,,,,,,,,,,,,,,,,,,,,,,
10/4/1998,1998,Mwaepe,Gear restriction,8,Spear,,Siganidae,Siganus sutor,Rabbitfish,C,12,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/4/1998,1998,Chale,Gear restriction,1,Basket trap,,Siganidae,Siganus sutor,Rabbitfish,C,13,14,13,13,15,17,16,13,15,16,11,,,,,,,,,,,,,,,,,,,,,
11/4/1998,1998,Chale,Gear restriction,5,Basket trap,,Siganidae,Siganus sutor,Rabbitfish,C,18,18,20,19,25,12,15,14,13,13,,,,,,,,,,,,,,,,,,,,,,
11/4/1998,1998,Chale,Gear restriction,7,Basket trap,,Siganidae,Siganus sutor,Rabbitfish,C,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/4/1998,1998,Chale,Gear restriction,9,Spear,,Siganidae,Siganus sutor,Rabbitfish,C,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/4/1998,1998,Chale,Gear restriction,11,Basket trap,,Siganidae,Siganus sutor,Rabbitfish,C,10,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/5/1998,1998,Tradewinds,Gear restriction,4,Gill net,,Siganidae,Siganus sutor,Rabbitfish,C,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/5/1998,1998,Tradewinds,Gear restriction,6,Beach seine,,Siganidae,Siganus sutor,Rabbitfish,C,20,16,17,13,13,14,12,14,15,15,15,14,14,13,13,,,,,,,,,,,,,,,,,
12/3/1998,1998,Kenyatta,Gear restriction and closure,2,Gill net,,Siganidae,Siganus sutor,Rabbitfish,C,22,21,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/3/1998,1998,Kenyatta,Gear restriction and closure,4,Basket trap,,Siganidae,Siganus sutor,Rabbitfish,C,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/3/1998,1998,Kenyatta,Gear restriction and closure,5,Smalltrap,,Siganidae,Siganus sutor,Rabbitfish,C,10,13,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/3/1998,1998,Kenyatta,Gear restriction and closure,6,Gill net,,Siganidae,Siganus sutor,Rabbitfish,C,17,19,16,16,15,14,,,,,,,,,,,,,,,,,,,,,,,,,,
12/3/1998,1998,Kenyatta,Gear restriction and closure,6,Gill net,,Siganidae,Siganus sutor,Rabbitfish,C,17,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/3/1998,1998,Kenyatta,Gear restriction and closure,7,Gill net,,Siganidae,Siganus sutor,Rabbitfish,C,20,14,21,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/3/1998,1998,Kenyatta,Gear restriction and closure,8,Smalltrap,,Siganidae,Siganus sutor,Rabbitfish,C,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/4/1998,1998,Mgwani,Gear restriction,1,Basket trap,,Siganidae,Siganus sutor,Rabbitfish,C,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/4/1998,1998,Mgwani,Gear restriction,8,Basket trap,,Siganidae,Siganus sutor,Rabbitfish,C,19,13,15,13,10,14,10,12,12,10,11,10,11,12,13,,,,,,,,,,,,,,,,,
